Time,LED1,LED2,LED3,LED4,Dark
1744216747.494274,0.0,0.0,0.0,0.0,1.929654598236084
1744216747.494274,0.0,0.0,0.0,0.0,1.9562783241271973
1744216747.494274,0.0,0.0,0.0,0.0,1.9562783241271973
1744216747.494274,0.0,0.0,0.0,0.0,1.9562783241271973
1744216747.494274,0.0,0.0,0.0,0.0,1.9562783241271973
1744216747.494274,0.0,0.0,0.0,0.0,1.9793429374694824
1744216747.494274,0.0,0.0,0.0,0.0,1.9793429374694824
1744216747.494274,0.0,0.0,0.0,0.0,1.9987750053405762
1744216747.494274,0.0,0.0,0.0,0.0,1.9987750053405762
1744216747.494274,0.0,0.0,0.0,0.0,1.9987750053405762
1744216747.494274,0.0,0.0,0.0,0.0,2.014735698699951
1744216747.494274,0.0,0.0,0.0,0.0,2.014735698699951
1744216747.494274,0.0,0.0,0.0,0.0,2.027238368988037
1744216747.494274,0.0,0.0,0.0,0.0,0.0
1744219390.7252738,0.0,0.0,0.0,0.0,1.3768548965454102
1744219390.7252738,0.0,0.0,0.0,0.0,1.3768548965454102
1744219390.7252738,0.0,0.0,0.0,0.0,1.319270133972168
1744219390.7252738,0.0,0.0,0.0,0.0,1.319270133972168
1744219390.7252738,0.0,0.0,0.0,0.0,1.319270133972168
1744219390.7252738,0.0,0.0,0.0,0.0,1.2608389854431152
1744219390.7252738,0.0,0.0,0.0,0.0,1.2608389854431152
1744219390.7252738,0.0,0.0,0.0,0.0,1.2608389854431152
1744219390.7252738,0.0,0.0,0.0,0.0,1.2608389854431152
1744219390.7252738,0.0,0.0,0.0,0.0,1.2017011642456055
1744219390.7252738,0.0,0.0,0.0,0.0,1.2017011642456055
1744219390.7252738,0.0,0.0,0.0,0.0,1.2017011642456055
1744219390.7252738,0.0,0.0,0.0,0.0,1.2017011642456055
1744219390.7252738,0.0,0.0,0.0,0.0,0.0
1744219390.7252738,0.0,0.0,0.0,0.0,1.4333524703979492
1744219390.7252738,0.0,0.0,0.0,0.0,0.0
1744216747.5222738,0.0,0.0,0.0,0.0,1.3768548965454102
1744216747.5222738,0.0,0.0,0.0,0.0,1.3768548965454102
1744216747.5222738,0.0,0.0,0.0,0.0,1.319270133972168
1744216747.5222738,0.0,0.0,0.0,0.0,1.319270133972168
1744216747.5222738,0.0,0.0,0.0,0.0,1.319270133972168
1744216747.5222738,0.0,0.0,0.0,0.0,1.2608389854431152
1744216747.5222738,0.0,0.0,0.0,0.0,1.2608389854431152
1744216747.5222738,0.0,0.0,0.0,0.0,1.2608389854431152
1744216747.5222738,0.0,0.0,0.0,0.0,1.2608389854431152
1744216747.5222738,0.0,0.0,0.0,0.0,1.2017011642456055
1744216747.5222738,0.0,0.0,0.0,0.0,1.2017011642456055
1744216747.5222738,0.0,0.0,0.0,0.0,1.2017011642456055
1744216747.5222738,0.0,0.0,0.0,0.0,1.2017011642456055
1744216747.5222738,0.0,0.0,0.0,0.0,1.1420650482177734
1744216747.5222738,0.0,0.0,0.0,0.0,1.0820622444152832
1744216747.5222738,0.0,0.0,0.0,0.0,0.0
1744218772.500274,0.0,0.0,0.0,0.0,1.0218586921691895
1744218772.500274,0.0,0.0,0.0,0.0,0.0
1744218772.500274,0.0,0.0,0.0,0.0,1.319270133972168
1744218772.500274,0.0,0.0,0.0,0.0,1.319270133972168
1744218772.500274,0.0,0.0,0.0,0.0,1.319270133972168
1744218772.500274,0.0,0.0,0.0,0.0,1.2608389854431152
1744218772.500274,0.0,0.0,0.0,0.0,1.2608389854431152
1744218772.500274,0.0,0.0,0.0,0.0,1.2608389854431152
1744218772.500274,0.0,0.0,0.0,0.0,1.2608389854431152
1744218772.500274,0.0,0.0,0.0,0.0,1.2017011642456055
1744218772.500274,0.0,0.0,0.0,0.0,1.2017011642456055
1744218772.500274,0.0,0.0,0.0,0.0,1.2017011642456055
1744218772.500274,0.0,0.0,0.0,0.0,1.2017011642456055
1744218772.500274,0.0,0.0,0.0,0.0,1.1420650482177734
1744218772.500274,0.0,0.0,0.0,0.0,1.0820622444152832
1744218772.500274,0.0,0.0,0.0,0.0,0.0
1744216808.023274,0.0,0.0,0.0,0.0,0.0
1744216808.023274,0.0,0.0,0.0,0.0,0.11675548553466797
1744216808.023274,0.0,0.0,0.0,0.0,0.11675548553466797
1744216808.023274,0.0,0.0,0.0,0.0,0.11823320388793945
1744216808.023274,0.0,0.0,0.0,0.0,0.11823320388793945
1744216808.023274,0.0,0.0,0.0,0.0,0.11823320388793945
1744216808.023274,0.0,0.0,0.0,0.0,0.11823320388793945
1744216808.023274,0.0,0.0,0.0,0.0,0.12353944778442383
1744216808.023274,0.0,0.0,0.0,0.0,0.12353944778442383
1744216808.023274,0.0,0.0,0.0,0.0,0.12353944778442383
1744216808.023274,0.0,0.0,0.0,0.0,0.12353944778442383
1744216808.023274,0.0,0.0,0.0,0.0,0.1326122283935547
1744216808.023274,0.0,0.0,0.0,0.0,0.1326122283935547
1744216808.023274,0.0,0.0,0.0,0.0,0.1326122283935547
1744216808.023274,0.0,0.0,0.0,0.0,0.1326122283935547
1744216808.023274,0.0,0.0,0.0,0.0,0.0
1744220499.842274,0.0,0.0,0.0,0.0,1.9057230949401855
1744220499.842274,0.0,0.0,0.0,0.0,1.8731212615966797
1744220499.842274,0.0,0.0,0.0,0.0,1.8731212615966797
1744220499.842274,0.0,0.0,0.0,0.0,1.837477207183838
1744220499.842274,0.0,0.0,0.0,0.0,1.837477207183838
1744220499.842274,0.0,0.0,0.0,0.0,1.7988696098327637
1744220499.842274,0.0,0.0,0.0,0.0,1.7988696098327637
1744220499.842274,0.0,0.0,0.0,0.0,1.7574195861816406
1744220499.842274,0.0,0.0,0.0,0.0,1.7574195861816406
1744220499.842274,0.0,0.0,0.0,0.0,1.7132444381713867
1744220499.842274,0.0,0.0,0.0,0.0,0.0
1744220499.842274,0.0,0.0,0.0,0.0,1.9610295295715332
1744220499.842274,0.0,0.0,0.0,0.0,1.9610295295715332
1744220499.842274,0.0,0.0,0.0,0.0,1.9350881576538086
1744220499.842274,0.0,0.0,0.0,0.0,1.9350881576538086
1744220499.842274,0.0,0.0,0.0,0.0,0.0
1744220499.842274,0.0,0.0,0.0,0.0,1.9057230949401855
1744220499.842274,0.0,0.0,0.0,0.0,1.8731212615966797
1744220499.842274,0.0,0.0,0.0,0.0,1.8731212615966797
1744220499.842274,0.0,0.0,0.0,0.0,1.837477207183838
1744220499.842274,0.0,0.0,0.0,0.0,1.837477207183838
1744220499.842274,0.0,0.0,0.0,0.0,1.7988696098327637
1744220499.842274,0.0,0.0,0.0,0.0,1.7988696098327637
1744220499.842274,0.0,0.0,0.0,0.0,1.7574195861816406
1744220499.842274,0.0,0.0,0.0,0.0,1.7574195861816406
1744220499.842274,0.0,0.0,0.0,0.0,1.7132444381713867
1744220499.842274,0.0,0.0,0.0,0.0,1.7132444381713867
1744220499.842274,0.0,0.0,0.0,0.0,1.6665034294128418
1744220499.842274,0.0,0.0,0.0,0.0,0.0
1744220499.842274,0.0,0.0,0.0,0.0,1.9350881576538086
1744220499.842274,0.0,0.0,0.0,0.0,1.9350881576538086
1744220499.842274,0.0,0.0,0.0,0.0,0.0
1744216747.6142738,0.0,0.0,0.0,0.0,1.9057230949401855
1744216747.6142738,0.0,0.0,0.0,0.0,1.8731212615966797
1744216747.6142738,0.0,0.0,0.0,0.0,1.8731212615966797
1744216747.6142738,0.0,0.0,0.0,0.0,1.837477207183838
1744216747.6142738,0.0,0.0,0.0,0.0,1.837477207183838
1744216747.6142738,0.0,0.0,0.0,0.0,1.7988696098327637
