wavelength,1L,1R,2L,2R,3L,3R,4L,4R,5L,5R
354.8325195,23.0960831472880,21.8599317754125,12.5768388468838,18.1275547143032,16.2932661824487,18.7097410535152,16.7797508827264,17.0987585362859,14.1240202714903,15.0571148105732
355.4316101,21.9282037552463,16.0263202381925,13.7495335687705,13.9917445863137,16.6399222957227,15.3077600361016,13.7899011477313,17.3100409595584,18.5130231967355,13.3539206509001
356.0306702,20.9849923382207,23.8247435060266,17.2358348079720,16.2577930471916,17.8363860015566,21.3624817272275,24.3823991956600,14.6877796648925,20.9077785460061,15.4255992987745
356.6297302,23.0622500783863,16.4110028759922,15.5839060926496,13.1853214454941,11.7241147934603,16.2938308632366,16.7349500311220,18.3753619958545,18.1616941594267,12.6408147064216
357.2287292,22.6738851978567,18.2121567915108,14.5167301219174,13.9581185876610,20.1744585703454,15.3832935508042,19.0643974025233,17.6750319428341,13.9724414055352,14.0368965447376
357.8277283,21.7265101302721,17.1453605910627,14.4867231066914,13.1574033830314,17.1739489773877,15.4801391057772,16.1948261899899,17.2525650768325,17.6742300344840,18.5104148161546
358.4266663,24.1570114290011,20.4491558450141,14.1823598105561,14.9433277248191,16.3160546606172,16.6965391300187,19.1883363471671,15.3238121942207,14.1525170074704,17.1740086112884
359.0256042,23.5714351313751,23.4807752605132,21.7500070202448,16.3598951377552,19.6565992965291,20.5219834166633,18.9725326544513,18.4120939321549,19.4917635792653,18.0824224976273
359.6244812,20.4805858145113,22.6804561797054,13.3608770414910,12.1801153989266,18.4072255908349,16.1089583416608,18.3299134087093,15.1952740934986,15.8629656491128,14.7876294462118
360.2233582,19.7306203081873,20.2970148701986,14.0164842886141,14.1025186439023,15.0345609389191,15.4002086719246,20.2468284090944,18.2106751084842,16.0526375892242,12.3746548702612
360.8222046,20.9924229868733,19.3397414271267,12.7020355208319,17.2755764014294,17.4239812463268,15.7038431073309,17.9568861843773,16.1625474756773,14.3749527574321,12.3714984677847
361.4210205,16.0696731863055,16.8662298605418,10.6738655225831,9.6348776876815,11.6574399500284,12.3847315295817,12.8280321306827,14.6012383399724,11.2695508539409,11.4565686071499
362.0198059,21.1084378633649,18.4545323109449,12.7237358371453,16.2440817606394,18.2362170400209,17.7245380472872,16.8103395711041,18.1884608087340,13.1876567247699,13.8630721706966
362.6185608,20.0355222999164,20.6382660453889,17.2506923822852,16.9302457435539,17.7847690657279,19.1352205871305,15.6408303300069,15.1220134593603,15.7094973920367,14.2674890894101
363.2172852,25.1531931936875,23.0743552673530,14.9957426629709,14.1523705373893,19.2421931385975,18.2878507023982,19.1608147076191,19.8562274350042,18.4284128926552,17.2965191786200
363.815979,22.4639310462808,18.3908720644641,13.9582348681147,16.7433427500811,14.6512428314774,17.4559647562174,15.8738137887488,17.0767724989111,15.9326541214054,11.8726711681044
364.4146423,22.9094805906845,18.8408922056768,15.2359807714599,15.0792442439245,15.6931250904354,12.6171945039931,16.3265966576180,17.0580290029336,17.0906813998490,16.2090451588133
365.0133057,23.6309989116970,20.0656423782143,11.0196038503628,13.1937590215810,17.7620736847534,18.5579692902391,16.9920598951007,17.7167791741223,10.1784119570150,16.2932242091432
365.611908,22.7829702029040,20.6010357382340,18.7839058068778,16.5124905569440,18.0267673902332,17.2627456908382,15.8448329255633,17.4830050673765,19.2519539099717,13.1191361380367
366.2104797,22.7875123204713,22.3609023787351,15.6664153963153,12.7917231109024,17.3072209232235,17.9963588118905,16.4080588743685,14.7803801954676,13.6318152450460,12.8639180709780
366.8090515,24.9007137228431,25.3359406695017,15.3613865623739,15.1901492329573,14.7049776161319,19.9491101739077,20.6625979033466,20.6911382747710,17.3876902246447,15.9107710754262
367.4075928,19.0975205212559,18.8292645001883,12.6993380455829,14.1033986065709,18.4411506066157,16.5747755101437,14.6798632728744,16.7574185411892,12.3682984336050,10.3649422395715
368.006073,21.4508015840967,21.6076970609619,14.1896619534710,11.3278811813946,17.6790254948632,15.9657221300564,16.0284806655444,15.1498646161313,14.8423479646111,15.5766205889984
368.6045532,22.7646819835067,21.3903244612764,10.9645854071281,13.5437752050831,16.7284088674070,17.3641241766890,15.7899707944901,12.9807128602032,13.2289440297731,13.8283332725792
369.2029724,23.0688083956782,21.5714846521706,22.2592516931607,15.6395062218408,21.0843181352067,17.9678790189505,17.1368289814916,18.1971353551851,17.2013070186023,13.9129271259554
369.8013916,21.9859648993566,20.9674873250948,10.2439095174096,8.7851870717646,15.0800329839915,13.1679245273325,15.5991274002543,10.3030469016605,13.6475937199731,13.2336320302165
370.3997803,28.0699831018373,24.4464029626075,13.4663016426668,22.3466223752076,16.6013902691304,20.5166054885508,18.4897341718253,21.2748607020601,15.7993902942192,12.3216286963381
370.9981384,23.4691735310716,19.7895458938398,11.3106420196738,13.0390331709103,15.1152784882986,17.2513097943239,13.4901547232628,14.1967307925204,12.2672357517176,13.5879882409864
371.5964661,21.0095642480340,19.5422482239040,13.8646360783213,14.5833202022275,18.9193884305266,18.6858151855401,16.5896501417571,17.9072404438184,12.1158346439403,13.8945805647591
372.1947632,22.3391629589291,19.2129983554094,12.1255619168510,11.4992299842018,16.6637192010587,16.9439197133056,16.0099164968059,13.9551097223085,12.3013736479056,13.4386601215684
372.7930298,21.1761832303168,23.5614463657075,14.4540777211901,13.8593104316111,16.5605438225314,16.6534756000005,15.2656861084706,15.4019876369579,15.5444831425200,11.3625276317797
373.3912659,28.1504375090005,24.5606569442559,16.5357013533204,13.2045869434836,16.9773259464218,16.9583985840436,19.0655808152631,14.8890710775805,17.0782684135080,12.5926204209752
373.9894714,27.2034003427914,22.8065712341949,13.9623039695571,14.8353421833943,16.3410195541411,20.1937796828314,17.0685519782021,17.4354823416917,16.6699905256621,10.3499446353845
